model,default_y,opt_best_y,y_gain_pct,default_verdict,default_gap,opt_verdict,opt_gap,verdict_changed,top_shifts
diapers,+12.00,+135.38,+1028.2,CONFIRM,-24.00,CONFIRM,-15.47,False,Buy+0.70;wash_amt+0.41;Dirty+0.34
brooks,+500.00,+198.73,-60.3,CONFIRM,-147.50,neutral,+0.00,True,Todo-0.70;Done+0.70;prod_rate+0.45
bugs,+76.11,+200.00,+162.8,CONFIRM,+38.06,neutral,+0.00,True,Found+0.57;Fixed+0.51;find_rate+0.03
debt,+52.79,+200.00,+278.9,CONFIRM,-56.65,neutral,-8.39,True,Feat+0.24;pay_rate+0.20;intr_rate+0.17
sir,-40.31,-10.00,+75.2,CONFIRM,-21.90,CONFIRM,-22.07,False,R+0.51;S-0.48;gamma+0.22
rework,+74.86,+86.31,+15.3,CONFIRM,-48.32,CONFIRM,-18.54,False,Req-0.73;code_rate+0.47;Done+0.37
learn,+16.71,+105.00,+528.2,CONFIRM,-5.28,neutral,+0.00,True,promote_rate+0.70;mentor_rate+0.56;Tr+0.51
brooksq,+391.35,+99.46,-74.6,CONFIRM,-45.91,neutral,+0.00,True,Done+0.70;New+0.58;inj_rate+0.45
defmap,+0.00,-100.00,inf,CONFIRM,-100.00,neutral,+0.00,True,Prod+0.45;Caught+0.37;Dsn+0.37
aiwork,+128.10,+1000.00,+680.6,CONFIRM,-51.69,CONFIRM,-81.14,False,Kept+0.77;Wip+0.54;gen_boost+0.35
flaky,+136.23,+307.33,+125.6,CONFIRM,-127.97,CONFIRM,-307.94,False,Tests+0.51;Flakes+0.37;fix_coef+0.37
dora,+24.93,+198.06,+694.5,CONFIRM,-45.35,CONFIRM,-42.71,False,Deploys+0.72;Recovery+0.36;Incidents+0.35
micro,+132.14,+500.00,+278.4,CONFIRM,-67.01,neutral,+0.00,True,Deps+0.56;Feat+0.51;svc_growth+0.27
teamtopo,+139.84,+500.00,+257.6,CONFIRM,-139.84,CONFIRM,-133.40,False,Delivered+0.57;domain_growth+0.22;team+0.22
burnout,+800.00,+1808.90,+126.1,CONFIRM,-384.38,neutral,-1.26,True,Delivered+0.79;Stress+0.42;recover_coef+0.34
aidebt,+52.79,+193.15,+265.9,REFUTE,+6.50,CONFIRM,-21.36,True,pay_rate+0.47;Debt+0.28;Feat+0.20
archpat,+545.41,+1888.01,+246.2,CONFIRM,+228.69,neutral,+4.14,True,pay_rate+0.59;Patterned+0.51;Drift+0.50
congruence,+305.24,+495.00,+62.2,CONFIRM,-314.85,neutral,+0.00,True,Brokers+0.54;Cohesion+0.51;work_rate+0.29
congruence_motif,+57.32,+500.00,+772.3,CONFIRM,-68.78,neutral,+0.00,True,Files+0.55;Bugs+0.51;bug_pay_rate+0.42
little,+100.00,+4348.31,+4248.3,CONFIRM,-32.98,CONFIRM,-230.85,False,Done+0.78;WIP+0.48;Arrival+0.24
coordn2,+960.00,+9620.80,+902.2,REFUTE,+860.00,neutral,+379.20,True,Done+0.70;work_per_dev+0.50;comm_coef+0.19
entropy,-39.73,-1449.76,-3549.4,CONFIRM,-69.13,CONFIRM,-724.89,False,entropy_coef+0.21;Bugs+0.21;Complexity+0.19
costchange,-3619.10,-299262.43,-8169.0,CONFIRM,-5165.13,CONFIRM,-134129.22,False,cost_early+0.30;Cost+0.21;Bugs+0.19
pareto,-16.00,-2658.81,-16517.5,CONFIRM,-64.00,neutral,-84.00,True,Hot+0.26;cold_bug_rate+0.22;Bugs+0.20
linus,+11.22,+3480.08,+30929.1,CONFIRM,-10.48,CONFIRM,-295.58,False,Reviewed+0.76;Open+0.53;recur_rate+0.24
mirroring,-48.00,-1103.39,-2198.7,CONFIRM,-88.00,CONFIRM,-100.09,False,Teams+0.64;churn_rate+0.30;Bugs+0.21
orgchurn,-495.47,-1079.79,-117.9,CONFIRM,-4504.53,CONFIRM,-3920.21,False,knowledge+0.62;Devs+0.29;Bugs+0.20
ownership,-60.00,-1348.83,-2148.1,CONFIRM,-87.50,neutral,-62.97,True,major_quality-0.24;Bugs+0.20;Modules+0.12
ossfail,+21.03,+253.90,+1107.4,CONFIRM,-19.26,CONFIRM,-552.49,False,Activity+0.73;Devs+0.23;attrition+0.11
deprot,-4.00,-305.74,-7543.5,CONFIRM,-4.93,CONFIRM,-261.16,False,Stale+0.23;Vulns+0.21;Deps+0.20
scope,+106.00,+8843.17,+8242.6,CONFIRM,-20.00,neutral,-20.00,True,Done+0.76;outflow+0.64;Backlog+0.28
ctxswitch,+1428.57,+10000.00,+600.0,CONFIRM,-902.26,neutral,+0.00,True,Done+0.57;work_per_dev+0.31;Devs+0.20
limits,+1333.33,+83778.58,+6183.4,CONFIRM,+600.00,neutral,+1004.01,True,Done+0.77;k_per_dev+0.68;cap+0.38
successful,+1300.00,+100000.00,+7592.3,CONFIRM,-1100.00,CONFIRM,-8988.16,False,Pop+0.58;Coverage+0.52;attention_rate+0.50
maturity,-612.29,-20842.96,-3304.1,CONFIRM,-491.93,neutral,-796.08,True,fix_rate_base+0.33;Done+0.26;BugTime+0.20
