tmax,pay_rate,born_ai_mult,ratio,y0,y1,gap,verdict
80,0.000,0.000,0.000,5.085,22.673,-17.588,REFUTE
80,0.000,0.556,0.000,5.085,-9.552,14.638,CONFIRM
80,0.000,1.111,0.000,5.085,-26.394,31.479,CONFIRM
80,0.000,1.667,0.000,5.085,-36.919,42.004,CONFIRM
80,0.000,2.222,0.000,5.085,-44.331,49.416,CONFIRM
80,0.000,2.778,0.000,5.085,-49.873,54.958,CONFIRM
80,0.000,3.333,0.000,5.085,-54.232,59.318,CONFIRM
80,0.000,3.889,0.000,5.085,-57.709,62.795,CONFIRM
80,0.000,4.444,0.000,5.085,-60.569,65.654,CONFIRM
80,0.000,5.000,0.000,5.085,-63.059,68.144,CONFIRM
80,0.111,0.000,0.370,150.666,140.954,9.712,CONFIRM
80,0.111,0.556,0.238,150.666,134.155,16.511,CONFIRM
80,0.111,1.111,0.175,150.666,130.510,20.156,CONFIRM
80,0.111,1.667,0.139,150.666,126.370,24.296,CONFIRM
80,0.111,2.222,0.115,150.666,92.349,58.317,CONFIRM
80,0.111,2.778,0.098,150.666,67.881,82.785,CONFIRM
80,0.111,3.333,0.085,150.666,49.381,101.285,CONFIRM
80,0.111,3.889,0.076,150.666,34.866,115.800,CONFIRM
80,0.111,4.444,0.068,150.666,23.150,127.516,CONFIRM
80,0.111,5.000,0.062,150.666,13.478,137.188,CONFIRM
80,0.222,0.000,0.741,176.939,170.220,6.719,CONFIRM
80,0.222,0.556,0.476,176.939,161.505,15.433,CONFIRM
80,0.222,1.111,0.351,176.939,155.314,21.625,CONFIRM
80,0.222,1.667,0.278,176.939,150.688,26.251,CONFIRM
80,0.222,2.222,0.230,176.939,147.099,29.839,CONFIRM
80,0.222,2.778,0.196,176.939,144.232,32.706,CONFIRM
80,0.222,3.333,0.171,176.939,141.888,35.051,CONFIRM
80,0.222,3.889,0.152,176.939,139.936,37.003,CONFIRM
80,0.222,4.444,0.136,176.939,138.284,38.655,CONFIRM
80,0.222,5.000,0.123,176.939,136.869,40.070,CONFIRM
80,0.333,0.000,1.111,185.057,180.168,4.890,CONFIRM
80,0.333,0.556,0.714,185.057,172.843,12.214,CONFIRM
80,0.333,1.111,0.526,185.057,167.084,17.974,CONFIRM
80,0.333,1.667,0.417,185.057,162.434,22.624,CONFIRM
80,0.333,2.222,0.345,185.057,158.600,26.457,CONFIRM
80,0.333,2.778,0.294,185.057,155.388,29.669,CONFIRM
80,0.333,3.333,0.256,185.057,152.654,32.403,CONFIRM
80,0.333,3.889,0.227,185.057,150.299,34.759,CONFIRM
80,0.333,4.444,0.204,185.057,148.247,36.810,CONFIRM
80,0.333,5.000,0.185,185.057,146.447,38.611,CONFIRM
80,0.444,0.000,1.481,188.958,185.143,3.815,CONFIRM
80,0.444,0.556,0.952,188.958,179.027,9.931,CONFIRM
80,0.444,1.111,0.702,188.958,173.949,15.009,CONFIRM
80,0.444,1.667,0.556,188.958,169.663,19.295,CONFIRM
80,0.444,2.222,0.460,188.958,165.995,22.963,CONFIRM
80,0.444,2.778,0.392,188.958,162.820,26.138,CONFIRM
80,0.444,3.333,0.342,188.958,160.045,28.913,CONFIRM
80,0.444,3.889,0.303,188.958,157.602,31.356,CONFIRM
80,0.444,4.444,0.272,188.958,155.431,33.527,CONFIRM
80,0.444,5.000,0.247,188.958,153.489,35.469,CONFIRM
80,0.556,0.000,1.852,191.245,188.123,3.121,CONFIRM
80,0.556,0.556,1.190,191.245,182.921,8.324,CONFIRM
80,0.556,1.111,0.877,191.245,178.446,12.799,CONFIRM
80,0.556,1.667,0.694,191.245,174.557,16.688,CONFIRM
80,0.556,2.222,0.575,191.245,171.147,20.098,CONFIRM
80,0.556,2.778,0.490,191.245,168.127,23.118,CONFIRM
80,0.556,3.333,0.427,191.245,165.441,25.803,CONFIRM
80,0.556,3.889,0.379,191.245,163.032,28.213,CONFIRM
80,0.556,4.444,0.340,191.245,160.857,30.388,CONFIRM
80,0.556,5.000,0.309,191.245,158.890,32.355,CONFIRM
