issue_key,comment_id,comment_created_datetimetz,comment_updated_datetimetz,comment_author_id,comment_author_name,comment_author_timezone,comment_author_update_id,comment_author_update_name,comment_author_update_timezone,comment_body,project
CAMEL-800,12948423,2008-08-09T11:01:10.487+0000,2008-08-09T11:01:10.487+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,Damm I thought that we fixed this in the 1.4,camel
CAMEL-800,12950067,2008-12-11T11:50:25.367+0000,2008-12-11T11:50:25.367+0000,jstrachan,James Strachan,Etc/UTC,jstrachan,James Strachan,Etc/UTC,"this is looking OK now isn't it?

http://activemq.apache.org/camel/manual/camel-manual-2.0-SNAPSHOT.pdf

or is there something still being cut?",camel
CAMEL-800,12950037,2008-12-11T12:58:20.651+0000,2008-12-11T12:58:20.651+0000,janstey,Jonathan Anstey,America/New_York,janstey,Jonathan Anstey,America/New_York,"Charles, what PDF reader are you using? The table looks fine in Evince 2.22.2 and Acrobat Reader 8.",camel
CAMEL-800,12950009,2008-12-11T13:00:09.770+0000,2008-12-11T13:00:09.770+0000,cmoulliard,Moulliard Charles,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,"We have also a cut in the appendix (page 169) for :

FILE EXPRESSION LANGUAGE
Available as of Camel 1.5
The File Expression Language is an extension to the Simple language, adding file
related capabilities. These capabilities is related to common use cases working with file
path and names. The goal is to allow expression to be used with the File and FTP
components for setting dynamic file patterns for both consumer and producer.
....

I see that the table of the components in the appendix are too big. Size must be reduce otherwise the table is cut in 2 parts and the second part is added after the first part. This is not helpful to read.",camel
CAMEL-800,12950056,2008-12-11T13:06:12.675+0000,2008-12-11T13:06:12.675+0000,cmoulliard,Moulliard Charles,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,"I use Acrobat Reader 9. 

I see also strange characters like this 'Â' for Cxf component when the content of the column is empty.",camel
CAMEL-800,12950047,2008-12-11T13:08:22.745+0000,2008-12-11T13:08:22.745+0000,cmoulliard,Moulliard Charles,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,Content table of the component FTP/SFTP is also cut.,camel
CAMEL-800,12949940,2008-12-11T13:15:30.642+0000,2008-12-11T13:15:30.642+0000,cmoulliard,Moulliard Charles,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,Here is screenshot example of error (1) detected in Adobe Reader 9.,camel
CAMEL-800,12949947,2008-12-11T13:17:26.295+0000,2008-12-11T13:17:26.295+0000,cmoulliard,Moulliard Charles,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,Here is screenshot example of error (2) detected in Adobe Reader 9.,camel
CAMEL-800,12950069,2008-12-11T13:18:29.612+0000,2008-12-11T13:18:29.612+0000,cmoulliard,Moulliard Charles,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,Here is screenshot example of error (3) detected in Adobe Reader 9.,camel
CAMEL-800,12950051,2008-12-11T13:41:29.899+0000,2008-12-11T13:41:29.899+0000,janstey,Jonathan Anstey,America/New_York,janstey,Jonathan Anstey,America/New_York,"Yeah, this doesn't look too hot... I see those errors too.",camel
CAMEL-800,12950138,2008-12-17T20:47:00.566+0000,2008-12-17T20:47:00.566+0000,janstey,Jonathan Anstey,America/New_York,janstey,Jonathan Anstey,America/New_York,I've fixed these issues now. See the latest PDF here http://people.apache.org/~janstey/temp/camel-manual-2.0-SNAPSHOT.pdf (or wait until the nightly build creates one),camel
CAMEL-800,12947286,2009-07-31T06:33:34.918+0000,2009-07-31T06:33:34.918+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,Closing 2.0m1 tickets,camel
CAMEL-799,12948439,2008-08-08T12:52:04.770+0000,2008-08-08T12:52:04.770+0000,janstey,Jonathan Anstey,America/New_York,janstey,Jonathan Anstey,America/New_York,Adding patch *with* ASF license...,camel
CAMEL-799,12948363,2008-08-08T12:59:58.750+0000,2008-08-08T12:59:58.750+0000,gertvanthienen,Gert Vanthienen,Europe/Berlin,gertvanthienen,Gert Vanthienen,Europe/Berlin,"Fixed in http://svn.eu.apache.org/viewvc?view=rev&revision=683956.
Thanks to Jon for providing the patch!",camel
CAMEL-799,12950750,2009-02-16T05:51:49.700+0000,2009-02-16T05:51:49.700+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,Closing all 1.5.0 issues,camel
CAMEL-798,12948330,2008-08-08T12:10:44.227+0000,2008-08-08T12:10:44.227+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,"Hi Charles

This should be fixed with the 1.5-SNAPSHOT.

What you can do as a workaround in Camel 1.4 is to *not* show the body type.
tracer.getFormatter().setShowBodyType(false);",camel
CAMEL-798,12948452,2008-08-08T12:39:33.188+0000,2008-08-08T12:39:33.188+0000,cmoulliard,Moulliard Charles,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,The error is also generated (in Camel 1.4) even if i use : tracer.getFormatter().setShowBodyType(false);,camel
CAMEL-798,12948395,2008-08-08T12:44:05.654+0000,2008-08-08T12:44:05.654+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,"Hi Charles

Hmm that is to bad. You can also try to disable the body all together just for testing
tracer.getFormatter().setShowBody(false);",camel
CAMEL-798,12948403,2008-08-08T13:46:06.016+0000,2008-08-08T13:46:06.016+0000,cmoulliard,Moulliard Charles,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,"This is not really blocking. I can wait for Camel 1.5.

Nevertheless, there is a bug with the flatpack component because in the case presented here, the endpoint ""from(flatpack:fixed:com/bravura/babel/transformation/cutas/in/CUTAS.xml)"" send a flatpack DataSet object which is not accepted by the activemq queue.",camel
CAMEL-798,12948424,2008-08-08T13:53:52.676+0000,2008-08-08T13:53:52.676+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,"Yes the flatpack component needs an overhaul for Camel 1.5. It was added very late in 1.4 and thus not complete.

Charles if you are up for it you are welcome to give a go at improving the flatpack component ;)",camel
CAMEL-798,12948417,2008-08-08T15:23:26.583+0000,2008-08-08T15:23:26.583+0000,cmoulliard,Moulliard Charles,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,"I have faxed my apache CLA so now I wait to be listed on apache web site. Next week, I will try to spend some time on this beautiful Apache project. I have almost finished the Proof Of Concept for which I was busy since a couple weeks so now I will have a few times for open source community (if my boss agrees ;)",camel
CAMEL-798,12948245,2008-08-09T17:03:32.012+0000,2008-08-09T17:03:32.012+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,"Charles about the bug?

You need to convert the content to something that can be serailized/handled by the JMS provider.
But as said before we should give the flatpack component an overhaul.

But can you test with this (there is a type converter from DataSet to Map)

from(flatpack:fixed:com/bravura/babel/transformation/cutas/in/CUTAS.xml)
.convertBodyTo(Map.class)
.to(activemq:queue:cutas.clientA.accepted.in);

I will close this as not a bug. And then we must make sure the flatpack stuff can be sent to JMS out-of-the-box with eg a good type converter or a camel type that is seiralizable.",camel
CAMEL-798,12948295,2008-08-09T17:03:58.996+0000,2008-08-09T17:03:58.996+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,The original reported bug is *already* fixed in Camel 1.5,camel
CAMEL-798,12950791,2009-02-16T05:51:49.669+0000,2009-02-16T05:51:49.669+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,Closing all 1.5.0 issues,camel
CAMEL-797,12948466,2008-08-08T12:26:32.922+0000,2008-08-08T12:26:32.922+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,Yes after some of the heat settled I will sit down with a few beers and craft some more parts. However any contribution is of course much appreciated.,camel
CAMEL-797,12948329,2008-08-08T12:44:45.699+0000,2008-08-08T12:44:45.699+0000,cmoulliard,Moulliard Charles,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,How can I help you ? ,camel
CAMEL-797,12948320,2008-08-08T12:54:18.921+0000,2008-08-08T12:54:18.921+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,"Charles do you have edit rights to the wiki? If not then you can get it but you need to have signed the Apache CLA so Apache have the rights to whatever you write on the wiki.

If so then you can also write / edit the tutorial.

I will take a look at a part 4 this weekend. I think I will keep it basic at first to introduce the routing in only Java.
And then part 5 can be more about spring how to setup Camel using spring xml files.
And then a part 6 about the camel-cxf integration as its a bit *not easy*.

Oh and then definitely a part about unit testing with the camel test kit as its very important as well.",camel
CAMEL-797,12948416,2008-08-08T13:05:22.471+0000,2008-08-08T13:05:22.471+0000,cmoulliard,Moulliard Charles,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,I will sign the Apache SLA and send it back in order for me to have access to the wiki.,camel
CAMEL-797,12948430,2008-08-12T11:19:10.153+0000,2008-08-12T11:19:10.153+0000,cmoulliard,Moulliard Charles,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,"New ideas

Part 7 : Add transaction support
Part 8 : Deploy Camel in an application server (JBOSS, Tomcat), WebSphere, BEA,  ...), OSGI server (Spring Application Platform suite, Equinox, Felix, ...) or JBI ESB (ServiceMix, Petals, ...) 

The next step will be the redaction of a book ;)",camel
