issue_key,issue_summary,issue_type,issue_status,issue_resolution,issue_components,issue_description,issue_priority,issue_affects_versions,issue_fix_versions,issue_labels,issue_votes,issue_watchers,issue_created_datetimetz,issue_updated_datetimetz,issue_resolution_datetimetz,issue_creator_id,issue_creator_name,issue_creator_timezone,issue_assignee_id,issue_assignee_name,issue_assignee_timezone,issue_reporter_id,issue_reporter_name,issue_reporter_timezone,project
CAMEL-800,Table of current supported uris (chapter 3) displayed in the pdf of the manual is cut,Improvement,Done,Fixed,documentation,The table of the current supported uris (chapter 3) displayed in the pdf of the documentation manual is cut and so not all the information is available.,Minor,"",1.6.0;2.0-M1,"",0,0,2008-08-08T15:19:47.000+0000,2009-07-31T06:33:34.000+0000,2008-12-17T20:47:11.000+0000,cmoulliard,Moulliard Charles,Europe/Berlin,janstey,Jonathan Anstey,America/New_York,cmoulliard,Moulliard Charles,Europe/Berlin,camel
CAMEL-799,mvn dependency:go-offline does not work in camel-scala,Bug,Done,Fixed,camel-scala,"When I run 'mvn dependency:go-offline' I get the following error in camel-scala:

{code}
[ERROR] BUILD ERROR
[INFO] ------------------------------------------------------------------------
[INFO] Failed to resolve artifact.

GroupId: org.scala-tools
ArtifactId: maven-scala-plugin
Version: RELEASE

Reason: Unable to determine the release version

Try downloading the file manually from the project website.

Then, install it using the command: 
    mvn install:install-file -DgroupId=org.scala-tools -DartifactId=maven-scala-plugin 
    -Dversion=RELEASE -Dpackaging=maven-plugin -Dfile=/path/to/file

Alternatively, if you host your own repository you can deploy the file there: 
    mvn deploy:deploy-file -DgroupId=org.scala-tools -DartifactId=maven-scala-plugin 
    -Dversion=RELEASE -Dpackaging=maven-plugin -Dfile=/path/to/file -Durl=[url] -DrepositoryId=[id]

  org.scala-tools:maven-scala-plugin:maven-plugin:RELEASE
{code}
Adding an explicit version for the scala plugin fixes this. ",Minor,1.4.0,1.5.0,"",0,0,2008-08-08T12:51:14.000+0000,2009-02-16T05:51:49.000+0000,2008-08-08T12:59:58.000+0000,janstey,Jonathan Anstey,America/New_York,gertvanthienen,Gert Vanthienen,Europe/Berlin,janstey,Jonathan Anstey,America/New_York,camel
CAMEL-798,NullPointerException is generated when Flatpack component is used with Tracer,Bug,Done,Fixed,camel-flatpack,"Hi, 

The following error is returned when Tracer is activated for the Flatpack component :

4317672 [Thread: 2 org.apache.camel.component.file.FileComponent@14f5a31] INFO  org.apache.camel.processor.interceptor.TraceInterceptor  - ID-dell-charles/1671-1218196761734/1-1 -> interceptor2 Interceptor[Delegate(DeadLetterChannel[Delegate(TraceInterceptor[To[flatpack:fixed:com/bravura/babel/transformation/cutas/in/CUTAS.xml]]), sendTo(Endpoint[seda:errors]), RedeliveryPolicy[maximumRedeliveries=1]])] InOnly Properties:{org.apache.camel.file.lock.name=c:\temp\cutas\input\clientA\ST000355.txt.cameLock, org.apache.camel.file.lock=sun.nio.ch.FileLockImpl[0:9223372036854775807 exclusive valid], org.apache.camel.fileChannel=sun.nio.ch.FileChannelImpl@4610fa} Headers:{org.apache.camel.file.name=ST000355.txt} BodyType:java.io.File
4317672 [Thread: 2 org.apache.camel.component.file.FileComponent@14f5a31] INFO  org.apache.camel.processor.interceptor.TraceInterceptor  - ID-dell-charles/1671-1218196761734/1-1 -> to4 To[flatpack:fixed:com/bravura/babel/transformation/cutas/in/CUTAS.xml] InOnly Properties:{CamelCauseException=null, org.apache.camel.file.lock.name=c:\temp\cutas\input\clientA\ST000355.txt.cameLock, org.apache.camel.file.lock=sun.nio.ch.FileLockImpl[0:9223372036854775807 exclusive valid], org.apache.camel.fileChannel=sun.nio.ch.FileChannelImpl@4610fa} Headers:{org.apache.camel.file.name=ST000355.txt} BodyType:java.io.File
4318031 [Thread: 2 org.apache.camel.component.file.FileComponent@14f5a31] INFO  org.apache.camel.processor.interceptor.TraceInterceptor  - ID-dell-charles/1671-1218196761734/1-2 -> interceptor3 Interceptor[Delegate(DeadLetterChannel[Delegate(TraceInterceptor[To[activemq:queue:cutas.clientA.accepted.in]]), sendTo(Endpoint[seda:errors]), RedeliveryPolicy[maximumRedeliveries=1]])] InOnly Properties:{} Headers:{camelFlatpackCounter=0} BodyType:net.sf.flatpack.DefaultDataSet
4318031 [Thread: 2 org.apache.camel.component.file.FileComponent@14f5a31] INFO  org.apache.camel.processor.interceptor.TraceInterceptor  - ID-dell-charles/1671-1218196761734/1-2 -> to5 To[activemq:queue:cutas.clientA.accepted.in] InOnly Properties:{CamelCauseException=null} Headers:{camelFlatpackCounter=0} BodyType:net.sf.flatpack.DefaultDataSet
4318172 [Thread: 2 org.apache.camel.component.file.FileComponent@14f5a31] INFO  org.apache.camel.processor.interceptor.TraceInterceptor  - ID-dell-charles/1671-1218196761734/1-3 -> interceptor3 Interceptor[Delegate(DeadLetterChannel[Delegate(TraceInterceptor[To[activemq:queue:cutas.clientA.accepted.in]]), sendTo(Endpoint[seda:errors]), RedeliveryPolicy[maximumRedeliveries=1]])] InOnly Properties:{} Headers:{camelFlatpackCounter=1} BodyType:net.sf.flatpack.DefaultDataSet
4318172 [Thread: 2 org.apache.camel.component.file.FileComponent@14f5a31] INFO  org.apache.camel.processor.interceptor.TraceInterceptor  - ID-dell-charles/1671-1218196761734/1-3 -> to5 To[activemq:queue:cutas.clientA.accepted.in] InOnly Properties:{CamelCauseException=null} Headers:{camelFlatpackCounter=1} BodyType:net.sf.flatpack.DefaultDataSet
4318172 [Thread: 2 org.apache.camel.component.file.FileComponent@14f5a31] INFO  org.apache.camel.processor.interceptor.TraceInterceptor  - ID-dell-charles/1671-1218196761734/1-4 -> interceptor3 Interceptor[Delegate(DeadLetterChannel[Delegate(TraceInterceptor[To[activemq:queue:cutas.clientA.accepted.in]]), sendTo(Endpoint[seda:errors]), RedeliveryPolicy[maximumRedeliveries=1]])] InOnly Properties:{} Headers:{camelFlatpackCounter=2} BodyType:net.sf.flatpack.DefaultDataSet
4318172 [Thread: 2 org.apache.camel.component.file.FileComponent@14f5a31] INFO  org.apache.camel.processor.interceptor.TraceInterceptor  - ID-dell-charles/1671-1218196761734/1-4 -> to5 To[activemq:queue:cutas.clientA.accepted.in] InOnly Properties:{CamelCauseException=null} Headers:{camelFlatpackCounter=2} BodyType:net.sf.flatpack.DefaultDataSet
4318172 [Thread: 2 org.apache.camel.component.file.FileComponent@14f5a31] INFO  org.apache.camel.processor.interceptor.TraceInterceptor  - ID-dell-charles/1671-1218196761734/1-5 -> interceptor3 Interceptor[Delegate(DeadLetterChannel[Delegate(TraceInterceptor[To[activemq:queue:cutas.clientA.accepted.in]]), sendTo(Endpoint[seda:errors]), RedeliveryPolicy[maximumRedeliveries=1]])] InOnly Properties:{} Headers:{camelFlatpackCounter=3} BodyType:net.sf.flatpack.DefaultDataSet
4318172 [Thread: 2 org.apache.camel.component.file.FileComponent@14f5a31] INFO  org.apache.camel.processor.interceptor.TraceInterceptor  - ID-dell-charles/1671-1218196761734/1-5 -> to5 To[activemq:queue:cutas.clientA.accepted.in] InOnly Properties:{CamelCauseException=null} Headers:{camelFlatpackCounter=3} BodyType:net.sf.flatpack.DefaultDataSet
4318172 [Thread: 2 org.apache.camel.component.file.FileComponent@14f5a31] INFO  org.apache.camel.processor.interceptor.TraceInterceptor  - ID-dell-charles/1671-1218196761734/1-6 -> interceptor3 Interceptor[Delegate(DeadLetterChannel[Delegate(TraceInterceptor[To[activemq:queue:cutas.clientA.accepted.in]]), sendTo(Endpoint[seda:errors]), RedeliveryPolicy[maximumRedeliveries=1]])] InOnly Properties:{} Headers:{camelFlatpackCounter=4} BodyType:net.sf.flatpack.DefaultDataSet
4318172 [Thread: 2 org.apache.camel.component.file.FileComponent@14f5a31] INFO  org.apache.camel.processor.interceptor.TraceInterceptor  - ID-dell-charles/1671-1218196761734/1-6 -> to5 To[activemq:queue:cutas.clientA.accepted.in] InOnly Properties:{CamelCauseException=null} Headers:{camelFlatpackCounter=4} BodyType:net.sf.flatpack.DefaultDataSet
4318172 [Thread: 2 org.apache.camel.component.file.FileComponent@14f5a31] INFO  org.apache.camel.processor.interceptor.TraceInterceptor  - ID-dell-charles/1671-1218196761734/1-7 -> interceptor3 Interceptor[Delegate(DeadLetterChannel[Delegate(TraceInterceptor[To[activemq:queue:cutas.clientA.accepted.in]]), sendTo(Endpoint[seda:errors]), RedeliveryPolicy[maximumRedeliveries=1]])] InOnly Properties:{} Headers:{camelFlatpackCounter=5} BodyType:net.sf.flatpack.DefaultDataSet
4318172 [Thread: 2 org.apache.camel.component.file.FileComponent@14f5a31] INFO  org.apache.camel.processor.interceptor.TraceInterceptor  - ID-dell-charles/1671-1218196761734/1-7 -> to5 To[activemq:queue:cutas.clientA.accepted.in] InOnly Properties:{CamelCauseException=null} Headers:{camelFlatpackCounter=5} BodyType:net.sf.flatpack.DefaultDataSet
4318219 [DefaultMessageListenerContainer-9] WARN  org.apache.camel.component.jms.EndpointMessageListener  - Endpoint[activemq:queue:cutas.clientA.accepted.in] consumer caught an exception while processing JMS message: ActiveMQMessage {commandId = 5, responseRequired = true, messageId = ID:dell-charles-1675-1218196762046-2:3:1:1:1, originalDestination = null, originalTransactionId = null, producerId = ID:dell-charles-1675-1218196762046-2:3:1:1, destination = queue://cutas.clientA.accepted.in, transactionId = null, expiration = 0, timestamp = 1218196771187, arrival = 0, brokerInTime = 1218196771187, brokerOutTime = 1218196771218, correlationId = null, replyTo = null, persistent = true, type = null, priority = 4, groupID = null, groupSequence = 0, targetConsumerId = null, compressed = false, userID = null, content = null, marshalledProperties = null, dataStructure = null, redeliveryCounter = 0, size = 1024, properties = {camelFlatpackCounter=0}, readOnlyProperties = true, readOnlyBody = true, droppable = false}
43org.apache.camel.RuntimeCamelException: java.lang.NullPointerException
	at org.apache.camel.component.jms.EndpointMessageListener.onMessage(EndpointMessageListener.java:71)
	at org.springframework.jms.listener.AbstractMessageListenerContainer.doInvokeListener(AbstractMessageListenerContainer.java:531)
	at org.springframework.jms.listener.AbstractMessageListenerContainer.invokeListener(AbstractMessageListenerContainer.java:466)
	at org.springframework.jms.listener.AbstractMessageListenerContainer.doExecuteListener(AbstractMessageListenerContainer.java:435)
	at org.springframework.jms.listener.AbstractPollingMessageListenerContainer.doReceiveAndExecute(AbstractPollingMessageListenerContainer.java:322)
	at org.springframework.jms.listener.AbstractPollingMessageListenerContainer.receiveAndExecute(AbstractPollingMessageListenerContainer.java:260)
	at org.springframework.jms.listener.DefaultMessageListenerContainer$AsyncMessageListenerInvoker.invokeListener(DefaultMessageListenerContainer.java:944)
	at org.springframework.jms.listener.DefaultMessageListenerContainer$AsyncMessageListenerInvoker.run(DefaultMessageListenerContainer.java:875)
	at java.lang.Thread.run(Unknown Source)
Caused by: java.lang.NullPointerException
	at org.apache.camel.processor.interceptor.TraceFormatter.getBodyTypeAsString(TraceFormatter.java:124)
	at org.apache.camel.processor.interceptor.TraceFormatter.format(TraceFormatter.java:39)
	at org.apache.camel.processor.interceptor.TraceInterceptor.format(TraceInterceptor.java:68)
	at org.apache.camel.processor.Logger.logMessage(Logger.java:218)
	at org.apache.camel.processor.Logger.process(Logger.java:125)
	at org.apache.camel.processor.interceptor.TraceInterceptor.logException(TraceInterceptor.java:128)
	at org.apache.camel.processor.interceptor.TraceInterceptor.process(TraceInterceptor.java:59)
	at org.apache.camel.impl.converter.AsyncProcessorTypeConverter$ProcessorToAsyncProcessorBridge.process(AsyncProcessorTypeConverter.java:43)
	at org.apache.camel.processor.UnitOfWorkProcessor.process(UnitOfWorkProcessor.java:39)
	at org.apache.camel.util.AsyncProcessorHelper.process(AsyncProcessorHelper.java:41)
	at org.apache.camel.processor.DelegateAsyncProcessor.process(DelegateAsyncProcessor.java:66)
	at org.apache.camel.component.jms.EndpointMessageListener.onMessage(EndpointMessageListener.java:68)
	... 8 more
	
Code snippet :

	public void configure() {
			
		errorHandler(deadLetterChannel(""seda:errors"").maximumRedeliveries(1)
				.useExponentialBackOff());
		
        // Display trace
		Tracer tracer = new Tracer();
		tracer.getFormatter().setShowBody(false);
		tracer.getFormatter().setShowHeaders(true);
		tracer.getFormatter().setShowNode(true);
		getContext().addInterceptStrategy(tracer);
		
	
		from(file:///c:/temp/cutas/input/clientA/?delete=false&amp;lock=true&amp;consumer.delay=500&amp;consumer.initialDelay=10)
		.to(flatpack:fixed:com/bravura/babel/transformation/cutas/in/CUTAS.xml);
		
		from(flatpack:fixed:com/bravura/babel/transformation/cutas/in/CUTAS.xml)
		.to(activemq:queue:cutas.clientA.accepted.in);
",Major,1.4.0,1.5.0,"",0,0,2008-08-08T12:07:17.000+0000,2009-02-16T05:51:49.000+0000,2008-08-09T17:03:59.000+0000,cmoulliard,Moulliard Charles,Europe/Berlin,,,,cmoulliard,Moulliard Charles,Europe/Berlin,camel
CAMEL-797,camel-example-reportincident tutorial - ideas for new parts to add,Improvement,Done,Fixed,documentation;examples,"Hi,

First of all, I would like to thanks Claus for the quality of its tutorial. This is a great job for the camel community to have now a second tutorial showing the magic of Camel.

What I would like to propose is to add a fourth part to this tutorial to show :

- How to turn on the code to DSL language and/or spring xml configuration file ?
- How the architecture can be adapted to use Camel as the entry point of the web service instead of the CxFServlet ?

Task to do 

1) Adapt the architecture to allow Camel to become the entry point of the web services
2) Transpose the code to routes the messages between the endpoints using DSL language through a java class
3) Idem bu using a spring configuration file",Major,1.4.0,2.0-M2,"",0,0,2008-08-08T07:55:22.000+0000,2009-11-21T11:57:54.000+0000,2009-05-07T04:10:49.000+0000,cmoulliard,Moulliard Charles,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,camel
CAMEL-796,Remove @OutHeader from the Bean component wiki page,Improvement,Done,Fixed,"","In the Bean component, it is mentioned that a @OutHeader annotation exists

""Using Annotations to bind parameters to the Exchange

The annotations can be used to bind in situations where traditional methods would result in ambiguous methods. So by adding annotations you can decorate your bean to help Camel invoke the correct method.

You can also use the following annotations to bind parameters to different kinds of Expression
Annotation Meaning
@Body To bind to an inbound message body
@Header To bind to an inbound message header
@Headers To bind to the Map of the inbound message headers
@OutHeader To bind to an outbound message header
@OutHeaders To bind to the Map of the outbound message headers
@Property To bind to a named property on the exchange
@Properties To bind to the property map on the exchange""

but the Camel-1.4 project does not contain such a class !

Is it an error in the doc or a ghost class ? If this is an error in the wiki page, can you update it please ?",Major,1.4.0,1.5.0,"",0,0,2008-08-08T06:26:49.000+0000,2009-02-16T05:51:49.000+0000,2008-08-09T11:05:02.000+0000,cmoulliard,Moulliard Charles,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,cmoulliard,Moulliard Charles,Europe/Berlin,camel
CAMEL-795,MinaConsumerTest failure,Bug,Done,Fixed,camel-mina,"The test fails with the following error:

junit.framework.ComparisonFailure: expected:<[Bye World]> but was:<[]>
	at junit.framework.Assert.assertEquals(Assert.java:81)
	at junit.framework.Assert.assertEquals(Assert.java:87)
	at org.apache.camel.component.mina.MinaConsumerTest.testSendTextlineSyncText(MinaConsumerTest.java:28)
...

One test sends sync the text ""World"" and the should receive ""Bye World"" in response.
2008-08-08 01:35:25,589 DEBUG MinaProducer - Message received: Bye World 
2008-08-08 01:35:25,589 DEBUG MinaProducer - Message received:  
2008-08-08 01:35:25,589 DEBUG MinaProducer - Message received: Bye  
2008-08-08 01:35:25,589 DEBUG MinaProducer - Message received:  

There are actually not one, but two messages received which causes the reply to be overridden by the second message.  The problem is with the test itself that actually returns ""Bye "" + body + ""\n""!  Because the test uses the 'textline' mina codec, the encoder actually adds another '\n'.  With the textline codec there's one message per line, so the extra \n makes it two lines and hence the extra message.  The decoder at the other end suppresses the LineDelimiter (\n), so the extra message is actually an empty string.

Removing the extra \n in the message fixes the test, but the notes above should be considered when camel-mina is used with the textline codec.




",Major,1.4.0,1.5.0,"",0,0,2008-08-08T05:48:57.000+0000,2009-02-16T05:51:49.000+0000,2008-08-08T05:57:28.000+0000,hadrian,Hadrian Zbarcea,America/New_York,hadrian,Hadrian Zbarcea,America/New_York,hadrian,Hadrian Zbarcea,America/New_York,camel
CAMEL-794,Pipeline with thread() processor also redelivers following the default policy independently from the preset  errorhadling ,Bug,Done,Fixed,camel-core,"When using the thread processor in a simple pipeline, the exchange will be redelivered 6 times (default policy) along with the preset errorhandler settings. The code below will re-deliver 6 times to the default DeadLetterChannel and once to the log:errorTester.

    	errorHandler(deadLetterChannel(""log:errorTester?level=ERROR"").maximumRedeliveries(1));
		
    	from(""seda:whatEver"")
        .thread(2)
       	.process(new Processor() {
        		public void process(Exchange exchange) throws Exception {
        			System.out.println(""### Exchg : "" + exchange.getExchangeId());
        			throw new Exception(""Kaboom 2!"");
        		}
        });
",Major,1.4.0,1.5.0,"",0,0,2008-08-08T03:02:15.000+0000,2009-02-16T05:51:49.000+0000,2008-09-07T16:58:04.000+0000,magyardude,Bela Vizy,Etc/UTC,davsclaus,Claus Ibsen,Europe/Berlin,magyardude,Bela Vizy,Etc/UTC,camel
CAMEL-793,smtp connection without authentication (no username and password given) doesn't work,Bug,Done,Fixed,camel-mail,Connections to smtp servers with no authentication fail. The mail.smtp.auth is always set to true. The patch sets it to false if no username is given.,Major,1.4.0,1.5.0,"",0,0,2008-08-08T02:49:46.000+0000,2009-02-16T05:51:49.000+0000,2008-08-08T04:07:33.000+0000,magyardude,Bela Vizy,Etc/UTC,davsclaus,Claus Ibsen,Europe/Berlin,magyardude,Bela Vizy,Etc/UTC,camel
CAMEL-792,Exception is not logged or handled when error handler is LoggingErrorHandler and processing occurs inside Pipeline,Bug,Done,Fixed,camel-core,"Exception throw inside Pipeline is not reported or handled when error handler is LoggingErrorHandler.
Attached unit test fails - exchange with exception is not passed to ""mock:error"" endpoints.
Test will pass when you change error handler to default (DeadLetterErrorHandler)
or when processor throwing an exception is processed not inside Pipeline.

After some digging inside source code I noticed Pipeline source code fragment.
{code:java}
    public void process(Exchange exchange) throws Exception {
        AsyncProcessorHelper.process(this, exchange);
    }
{code}
AsyncProcessorHelper.process(..) never throws exception directly.
Instead it passes exception information in exchange object properties.
Problem is LoggingErrorHandler doesn't use it correctly because (code snipped from LoggingErrorHandler):
{code:java}
    public void process(Exchange exchange) throws Exception {
        try {
            output.process(exchange);
        } catch (Throwable e) {
            if (!customProcessorForException(exchange, e)) {
                logError(exchange, e);
            }
        }
    }
{code}
it is logging only exception returned directly by output.process call.
",Major,1.4.0,1.5.0,"",0,0,2008-08-07T21:22:13.000+0000,2009-02-16T05:51:49.000+0000,2008-08-13T18:42:52.000+0000,tdomzal,Tomasz Domzal,Etc/UTC,davsclaus,Claus Ibsen,Europe/Berlin,tdomzal,Tomasz Domzal,Etc/UTC,camel
CAMEL-791,check camel.osgi.export.pkg in all the components - some could be wrong,Task,Done,Fixed,"","The camel-msv component had a wrong camel.osgi.export.pkg in its pom.xml and thus the .jar does not contain the correct class files.

Can be checked by warnings when the component is packaged.",Minor,1.4.0,1.5.0,"",0,0,2008-08-07T18:02:44.000+0000,2008-10-23T04:37:12.000+0000,2008-09-06T17:59:10.000+0000,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,davsclaus,Claus Ibsen,Europe/Berlin,camel
