model,project,metric,value
ownership,camel,minor_share_mean,0.4131
ownership,camel,model,ownership
ownership,camel,modules,78134
ownership,camel,n_commits_seen,1042735
ownership,camel,seed,1
ownership,helix,minor_share_mean,0.3413
ownership,helix,model,ownership
ownership,helix,modules,5510
ownership,helix,n_commits_seen,42561
ownership,helix,seed,1
ownership,tomcat,minor_share_mean,0.3431
ownership,tomcat,model,ownership
ownership,tomcat,modules,6445
ownership,tomcat,n_commits_seen,224898
ownership,tomcat,seed,1
